datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/8/2015 9:00:00 AM,1/8/2015 4:00:00 AM,1/8/2015 10:00:00 AM,1/8/2015 5:00:00 AM,DUQ,1826
1/8/2015 10:00:00 AM,1/8/2015 5:00:00 AM,1/8/2015 11:00:00 AM,1/8/2015 6:00:00 AM,DUQ,1924
1/8/2015 11:00:00 AM,1/8/2015 6:00:00 AM,1/8/2015 12:00:00 PM,1/8/2015 7:00:00 AM,DUQ,2040
1/8/2015 12:00:00 PM,1/8/2015 7:00:00 AM,1/8/2015 1:00:00 PM,1/8/2015 8:00:00 AM,DUQ,2153
1/8/2015 1:00:00 PM,1/8/2015 8:00:00 AM,1/8/2015 2:00:00 PM,1/8/2015 9:00:00 AM,DUQ,2176
1/8/2015 2:00:00 PM,1/8/2015 9:00:00 AM,1/8/2015 3:00:00 PM,1/8/2015 10:00:00 AM,DUQ,2172
1/8/2015 3:00:00 PM,1/8/2015 10:00:00 AM,1/8/2015 4:00:00 PM,1/8/2015 11:00:00 AM,DUQ,2167
1/8/2015 4:00:00 PM,1/8/2015 11:00:00 AM,1/8/2015 5:00:00 PM,1/8/2015 12:00:00 PM,DUQ,2164
1/8/2015 5:00:00 PM,1/8/2015 12:00:00 PM,1/8/2015 6:00:00 PM,1/8/2015 1:00:00 PM,DUQ,2150
1/8/2015 6:00:00 PM,1/8/2015 1:00:00 PM,1/8/2015 7:00:00 PM,1/8/2015 2:00:00 PM,DUQ,2141
1/8/2015 7:00:00 PM,1/8/2015 2:00:00 PM,1/8/2015 8:00:00 PM,1/8/2015 3:00:00 PM,DUQ,2106
1/8/2015 8:00:00 PM,1/8/2015 3:00:00 PM,1/8/2015 9:00:00 PM,1/8/2015 4:00:00 PM,DUQ,2099
1/8/2015 9:00:00 PM,1/8/2015 4:00:00 PM,1/8/2015 10:00:00 PM,1/8/2015 5:00:00 PM,DUQ,2129
1/8/2015 10:00:00 PM,1/8/2015 5:00:00 PM,1/8/2015 11:00:00 PM,1/8/2015 6:00:00 PM,DUQ,2231
1/8/2015 11:00:00 PM,1/8/2015 6:00:00 PM,1/9/2015 12:00:00 AM,1/8/2015 7:00:00 PM,DUQ,2241
1/9/2015 12:00:00 AM,1/8/2015 7:00:00 PM,1/9/2015 1:00:00 AM,1/8/2015 8:00:00 PM,DUQ,2220
